experiment_id,condition,seed,pressure_mean,pressure_p50,pressure_p90,time_to_silence,identity_entropy,nodes_final,splits_total,prunes_total,status,notes
E3,hybrid_scaffold_plus_differentiation,13,5.519120805708715,5.684344575690017,6.813586628922818,2000,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,14,0.13229753989441592,0.08974810449696274,0.31613682470615967,1637,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,15,4.936392440656237,4.99690736803471,5.894470862381672,2000,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,16,0.12973638056521308,0.08059368237174935,0.3358945096277563,1573,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,17,5.228554548301912,5.283646778191931,6.345142786086894,2000,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,18,4.835333371355858,5.1614867858329605,6.033235504435594,2000,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,19,0.13793473605376802,0.08572540914980865,0.3794950503184584,1803,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,20,0.13453604567846927,0.08893039260167586,0.3268200997059187,1576,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,21,0.1319676103939903,0.07663567316211663,0.3474287453219248,1531,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,22,0.13154074682756076,0.08132234166558622,0.3311700601609166,1612,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,23,5.358709567913616,5.438052099790735,7.469658221466716,2000,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,24,5.348621485284255,5.336451509657537,7.035891264484218,2000,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,25,5.476030105137796,5.582039811704816,6.722632580399516,2000,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,26,0.1295067256994315,0.07340749743607149,0.3383165584060524,1615,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,27,0.12832210501641733,0.06979393508151718,0.3594910467222015,1419,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
E3,hybrid_scaffold_plus_differentiation,28,0.13268325636642334,0.08093080476110592,0.3814357246126004,1691,4.3219280948585075,20,0,0,ok,Compare directly vs E2 scaffold baseline.
